,6
2015-10-31,"{'동양물산': [109.0, 338.0, 732.0], '진양산업': [258.0, 219.0, 693.0], '미원홀딩스': [235.0, 218.0, 738.0], '케이탑리츠': [179.0, 242.0, 708.0], '현대일렉트릭': [391.5, 104.0, nan], '현대건설기계': [391.5, 104.0, nan], '신한 인버스 WTI원유 선물 ETN(H)': [113.0, 104.0, 747.0], '신한 인버스 2X 천연가스 선물 ETN(H)': [391.5, 104.0, nan], '삼성 인버스 2X 천연가스 선물 ETN': [391.5, 104.0, nan], 'QV 스마트리밸런싱 250&#47;3 ETN': [190.0, 104.0, 758.0]}"
2015-11-30,"{'동양물산': [54.0, 391.0, 703.0], '진양산업': [200.0, 217.0, 674.0], '선도전기': [169.0, 239.0, 480.0], '미원홀딩스': [165.0, 218.0, 733.0], '현대일렉트릭': [349.0, 103.0, nan], '신한 인버스 WTI원유 선물 ETN(H)': [50.0, 103.0, 753.0], '신한 레버리지 WTI원유 선물 ETN(H)': [349.0, 103.0, nan], '신한 인버스 2X 천연가스 선물 ETN(H)': [349.0, 103.0, nan], '삼성 인버스 2X 천연가스 선물 ETN': [349.0, 103.0, nan], 'QV 스마트리밸런싱 250&#47;3 ETN': [166.0, 103.0, 729.0]}"
2015-12-31,"{'DSR': [127.0, 247.0, 617.0], 'SK디앤디': [218.0, 103.0, 281.0], '신한 인버스 WTI원유 선물 ETN(H)': [28.0, 103.0, 715.0], '신한 인버스 브렌트원유 선물 ETN(H)': [23.0, 103.0, 749.0], '신한 인버스 구리 선물 ETN(H)': [98.0, 103.0, 768.0], 'QV 스마트리밸런싱 250&#47;3 ETN': [200.0, 103.0, 752.0], 'QV 내수소비 TOP5 ETN': [196.0, 103.0, 238.0], 'QV 소프트웨어 TOP5 ETN': [124.0, 103.0, 259.0], 'QV 자동차 TOP5 ETN': [101.0, 103.0, 258.0], 'QV 제약 TOP5 ETN': [203.0, 103.0, 261.0]}"
2016-01-31,"{'진양산업': [122.0, 221.0, 604.0], '이노션': [41.0, 102.0, 124.0], '신한 인버스 WTI원유 선물 ETN(H)': [32.0, 102.0, 627.0], '신한 인버스 브렌트원유 선물 ETN(H)': [25.0, 102.0, 731.0], '신한 인버스 구리 선물 ETN(H)': [117.0, 102.0, 773.0], 'QV 스마트리밸런싱 250&#47;3 ETN': [197.0, 102.0, 754.0], 'QV 자동차 TOP5 ETN': [112.0, 102.0, 296.0], 'QV 의료 TOP5 ETN': [127.0, 102.0, 423.0], 'QV 바이오 TOP5 ETN': [211.0, 102.0, 349.0], 'QV 제약 TOP5 ETN': [87.0, 102.0, 396.0]}"
2016-02-29,"{'SK디앤디': [158.0, 99.5, 372.0], '이노션': [37.0, 99.5, 146.0], '신한 인버스 브렌트원유 선물 ETN(H)': [46.0, 99.5, 623.0], '삼성 바이오 테마주 ETN': [102.0, 99.5, 193.0], '삼성 화학 테마주 ETN': [44.0, 99.5, 212.0], 'QV 에너지 TOP5 ETN': [87.0, 99.5, 410.0], 'QV 하드웨어 TOP5 ETN': [95.0, 99.5, 455.0], 'QV 자동차 TOP5 ETN': [107.0, 99.5, 405.0], 'QV 화학 TOP5 ETN': [64.0, 99.5, 484.0], 'QV 바이오 TOP5 ETN': [150.0, 99.5, 497.0]}"
2016-03-31,"{'SK디앤디': [210.0, 99.5, 395.0], '이노션': [51.0, 99.5, 181.0], '경보제약': [147.0, 99.5, 264.0], '신한 인버스 브렌트원유 선물 ETN(H)': [106.0, 99.5, 731.0], '삼성 바이오 테마주 ETN': [55.0, 99.5, 251.0], '삼성 화학 테마주 ETN': [65.0, 99.5, 237.0], 'QV 에너지 TOP5 ETN': [35.0, 99.5, 578.0], 'QV 의료 TOP5 ETN': [163.0, 99.5, 692.0], 'QV 바이오 TOP5 ETN': [95.0, 99.5, 706.0], 'QV 제약 TOP5 ETN': [108.0, 99.5, 776.0]}"
2016-04-30,"{'동일제강': [246.0, 89.0, 563.0], 'HDC아이콘트롤스': [263.0, 89.0, 523.0], '우진': [210.0, 195.0, 683.0], '미원홀딩스': [114.0, 214.0, 764.0], '이노션': [58.0, 89.0, 193.0], '신한 금 선물 ETN(H)': [191.0, 89.0, 787.0], '신한 은 선물 ETN(H)': [161.0, 89.0, 772.0], '삼성 바이오 테마주 ETN': [176.0, 89.0, 664.0], '삼성 건축자재 테마주 ETN': [308.0, 89.0, 506.0], '삼성 화학 테마주 ETN': [101.0, 89.0, 196.0]}"
2016-05-31,"{'동일제강': [307.0, 87.0, 617.0], '금호타이어': [83.0, 388.0, 222.0], '세진중공업': [270.0, 87.0, 516.0], '미원홀딩스': [78.0, 217.0, 765.0], '한전산업': [57.0, 346.0, 460.0], 'DSR': [125.0, 281.0, 577.0], '신한 옥수수 선물 ETN(H)': [213.0, 87.0, 757.0], '신한 금 선물 ETN(H)': [170.0, 87.0, 772.0], '신한 은 선물 ETN(H)': [172.0, 87.0, 773.0], '삼성 화학 테마주 ETN': [198.0, 87.0, 318.0]}"
2016-06-30,"{'율촌화학': [164.0, 184.0, 528.0], '지엠비코리아': [135.0, 271.0, 552.0], '세진중공업': [202.0, 81.5, 483.0], '미원홀딩스': [62.0, 227.0, 789.0], '미원화학': [44.0, 252.0, 580.0], '코리아오토글라스': [74.0, 81.5, 317.0], '잇츠한불': [216.0, 81.5, 189.0], '신한 WTI원유 선물 ETN(H)': [234.0, 81.5, 503.0], '신한 금 선물 ETN(H)': [105.0, 81.5, 732.0], '신한 은 선물 ETN(H)': [81.0, 81.5, 744.0]}"
2016-07-31,"{'율촌화학': [166.0, 189.0, 547.0], '세진중공업': [170.0, 80.0, 543.0], '미원홀딩스': [68.0, 265.0, 749.0], '코리아오토글라스': [129.0, 80.0, 323.0], '신한 금 선물 ETN(H)': [197.0, 80.0, 758.0], '신한 은 선물 ETN(H)': [79.0, 80.0, 732.0], '미래에셋 전기전자 Core5 ETN': [174.0, 80.0, 820.0], '삼성 미국 대형 가치주 ETN(H)': [176.0, 80.0, 825.0], '삼성 미국 중소형 가치주 ETN(H)': [134.0, 80.0, 824.0], '삼성 미국 중소형 가치주 ETN': [192.0, 80.0, 772.0]}"
