,6
2016-10-31,"{'CS홀딩스': [118.0, 122.0, 721.0], '동일산업': [66.0, 96.0, 590.0], '율촌화학': [159.0, 76.0, 546.0], '삼정펄프': [95.0, 79.0, 675.0], '아주캐피탈': [148.0, 66.0, 550.0], '동양고속': [143.0, 77.0, 657.0], '맵스리얼티1': [91.0, 52.0, 611.0], '해태제과식품': [258.5, 20.0, 220.0], '현대일렉트릭': [258.5, 20.0, nan], '현대건설기계': [258.5, 20.0, nan]}"
2016-11-30,"{'유성기업': [156.0, 78.0, 622.0], '동일산업': [35.0, 88.0, 549.0], '휴스틸': [110.0, 122.0, 605.0], '율촌화학': [114.0, 84.0, 519.0], '삼정펄프': [80.0, 75.0, 697.0], '대창단조': [59.0, 101.0, 522.0], '부산가스': [150.0, 49.0, 591.0], '아주캐피탈': [128.0, 60.0, 618.0], '동양고속': [126.0, 74.0, 650.0], 'KPX홀딩스': [116.0, 55.0, 652.0]}"
2016-12-31,"{'흥국화재': [178.0, 51.0, 698.0], '유성기업': [90.0, 86.0, 560.0], '동일산업': [56.0, 96.0, 416.0], '대덕전자': [122.0, 74.0, 382.0], '삼정펄프': [123.0, 72.0, 667.0], '대창단조': [74.0, 107.0, 533.0], '용평리조트': [153.0, 19.0, 282.0], '동양고속': [145.0, 68.0, 669.0], 'KPX홀딩스': [150.0, 59.0, 681.0], '코오롱머티리얼': [52.0, 157.0, 728.0]}"
2017-01-31,"{'흥국화재': [98.0, 52.0, 682.0], 'CS홀딩스': [114.0, 123.0, 705.0], '한국제지': [111.0, 62.0, 480.0], '동일산업': [104.0, 96.0, 602.0], '다스코': [60.0, 125.0, 647.0], '용평리조트': [94.0, 18.5, 275.0], '동양고속': [155.0, 64.0, 675.0], '코오롱머티리얼': [37.0, 205.0, 676.0], '현대일렉트릭': [242.0, 18.5, nan], '현대건설기계': [242.0, 18.5, nan]}"
2017-02-28,"{'흥국화재': [131.0, 57.0, 654.0], '한국제지': [76.0, 65.0, 442.0], '유성기업': [110.0, 106.0, 589.0], '동일산업': [67.0, 92.0, 505.0], '휴스틸': [88.0, 130.0, 609.0], '대구백화점': [203.0, 54.0, 651.0], 'KSS해운': [105.0, 114.0, 501.0], '다스코': [80.0, 152.0, 457.0], '용평리조트': [77.0, 18.0, 216.0], '한국자산신탁': [71.0, 18.0, 304.0]}"
2017-03-31,"{'흥국화재': [106.0, 68.0, 652.0], '일성신약': [137.0, 101.0, 630.0], '동일산업': [108.0, 86.0, 422.0], '휴스틸': [81.0, 155.0, 638.0], '대덕전자': [55.0, 88.0, 285.0], '다스코': [125.0, 139.0, 579.0], '한국자산신탁': [183.0, 17.5, 265.0], '아세아시멘트': [165.0, 107.0, 519.0], '해성디에스': [94.0, 17.5, 379.0], 'LS전선아시아': [206.0, 17.5, 315.0]}"
2017-04-30,"{'흥국화재': [166.0, 72.0, 567.0], '일성신약': [144.0, 85.0, 661.0], '태영건설': [68.0, 175.0, 428.0], '동원금속': [158.0, 95.0, 621.0], '다스코': [106.0, 125.0, 624.0], '한국자산신탁': [92.0, 17.0, 304.0], 'LS전선아시아': [74.0, 17.0, 378.0], '화승엔터프라이즈': [136.0, 17.0, 384.0], '샘표식품': [137.0, 17.0, 176.0], '일동제약': [41.0, 17.0, 237.0]}"
2017-05-31,"{'흥국화재': [90.0, 124.0, 327.0], '태영건설': [76.0, 148.0, 434.0], '남해화학': [74.0, 121.0, 319.0], '다스코': [165.0, 130.0, 588.0], '삼성바이오로직스': [62.0, 16.0, 26.0], 'LS전선아시아': [203.0, 16.0, 478.0], 'JW생명과학': [113.0, 16.0, 406.0], '화승엔터프라이즈': [239.0, 16.0, 445.0], '샘표식품': [87.0, 16.0, 256.0], '일동제약': [56.0, 16.0, 309.0]}"
2017-06-30,"{'메리츠화재': [109.0, 94.0, 239.0], '흥국화재': [43.0, 197.0, 386.0], '태영건설': [26.0, 219.0, 298.0], '무림P&P': [172.0, 68.0, 330.0], '남해화학': [125.0, 122.0, 369.0], '다스코': [156.0, 111.0, 636.0], 'BNK금융지주': [134.0, 102.0, 104.0], '삼성바이오로직스': [10.0, 15.0, 3.0], 'JW생명과학': [144.0, 15.0, 385.0], '화승엔터프라이즈': [206.0, 15.0, 479.0]}"
2017-07-31,"{'메리츠화재': [30.0, 109.0, 175.0], '부국증권': [72.0, 114.0, 594.0], 'KISCO홀딩스': [117.0, 95.0, 735.0], '코리안리': [167.0, 69.0, 184.0], '무림P&P': [168.0, 81.0, 422.0], '다스코': [105.0, 108.0, 590.0], 'BNK금융지주': [95.0, 122.0, 94.0], '아세아시멘트': [171.0, 97.0, 565.0], '삼성바이오로직스': [18.0, 13.5, 8.0], 'JW생명과학': [113.0, 13.5, 294.0]}"
2017-08-31,"{'메리츠화재': [25.0, 128.0, 159.0], '한양증권': [150.0, 49.0, 579.0], 'KISCO홀딩스': [96.0, 107.0, 738.0], '유화증권': [202.0, 40.0, 585.0], '무림P&P': [174.0, 75.0, 507.0], 'LS산전': [76.0, 149.0, 210.0], '퍼시스': [215.0, 38.0, 724.0], '서울가스': [136.0, 61.0, 675.0], '상신브레이크': [139.0, 78.0, 583.0], '다스코': [161.0, 120.0, 592.0]}"
2017-09-30,"{'한양증권': [139.0, 58.0, 612.0], 'KISCO홀딩스': [80.0, 85.0, 715.0], '유화증권': [138.0, 51.0, 643.0], '부산가스': [195.0, 40.0, 680.0], '태경산업': [184.0, 42.0, 719.0], '퍼시스': [162.0, 38.0, 736.0], '서울가스': [116.0, 56.0, 734.0], '상신브레이크': [133.0, 118.0, 602.0], '덴티움': [16.0, 11.5, 179.0], '한국ANKOR유전': [167.0, 26.0, 717.0]}"
2017-10-31,"{'부국증권': [28.0, 126.0, 652.0], 'KISCO홀딩스': [75.0, 85.0, 728.0], '유화증권': [131.0, 50.0, 609.0], '율촌화학': [74.0, 96.0, 304.0], '태경산업': [204.0, 42.0, 696.0], '퍼시스': [214.0, 37.0, 739.0], '서울가스': [99.0, 54.0, 672.0], 'KPX케미칼': [84.0, 147.0, 565.0], '기신정기': [198.0, 43.0, 659.0], '덴티움': [42.0, 11.5, 192.0]}"
2017-11-30,"{'태경산업': [140.0, 40.0, 683.0], '퍼시스': [186.0, 39.0, 729.0], '서울가스': [122.0, 56.0, 705.0], '오렌지라이프': [14.0, 11.0, 78.0], '기신정기': [131.0, 44.0, 630.0], '덴티움': [15.0, 11.0, 124.0], '한국ANKOR유전': [219.0, 28.0, 723.0], '넷마블': [139.0, 11.0, 9.0], '현대건설기계': [45.0, 11.0, 172.0], '경동도시가스': [80.0, 11.0, 546.0]}"
